Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type
CHEMBL230131,c1cnc2oc3c(N4CCOCC4)ncnc3c2c1,560.0,nM,=,0.56,PASS,ChEMBL,IC50
CHEMBL390850,c1cnc2sc3c(N4CCOCC4)ncnc3c2c1,1400.0,nM,=,1.4,PASS,ChEMBL,IC50
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,2.5,nM,=,0.0025,PASS,ChEMBL,IC50
CHEMBL230011,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,1300.0,nM,=,1.3,PASS,ChEMBL,IC50
CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,7.8,nM,=,0.0078,PASS,ChEMBL,IC50
CHEMBL239050,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccn12,860.0,nM,=,0.86,PASS,ChEMBL,IC50
CHEMBL239051,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2n1CCCC2,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL397780,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2c(Br)cccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL397105,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2cc(Br)ccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL240336,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2ccc(Br)cc12,2200.0,nM,=,2.2,PASS,ChEMBL,IC50
CHEMBL240335,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2ccccc12,800.0,nM,=,0.8,PASS,ChEMBL,IC50
CHEMBL240118,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccc2c1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL393747,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ccnc2ccccc12,2300.0,nM,=,2.3,PASS,ChEMBL,IC50
CHEMBL413803,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cccc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL413802,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1csc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL392071,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1coc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL392070,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1onc2ccccc12,5000.0,nM,=,5.0,PASS,ChEMBL,IC50
CHEMBL239475,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cn(C)c2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL239052,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ncn2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL393526,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ncc2ccccn12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL397796,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncn1C,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL272265,N#CCc1ccc(-n2cnc3cnc4ccc(C#Cc5cccnc5)cc4c32)cc1,64.0,nM,=,0.064,PASS,ChEMBL,IC50
CHEMBL255592,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21,72.0,nM,=,0.072,PASS,ChEMBL,IC50
CHEMBL270638,Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)C#N)cc1,56.0,nM,=,0.056,PASS,ChEMBL,IC50
CHEMBL272197,CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CC,382.0,nM,=,0.382,PASS,ChEMBL,IC50
CHEMBL270039,COC[C@H]1OC(=O)/C(=C/N2CCCCC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,104.0,nM,=,0.104,PASS,ChEMBL,IC50
CHEMBL260313,COC[C@H]1OC(=O)/C(=C/N2CCC(=O)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,60.0,nM,=,0.06,PASS,ChEMBL,IC50
CHEMBL411950,COC[C@H]1OC(=O)/C(=C/N2CCOCC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,37.0,nM,=,0.037,PASS,ChEMBL,IC50
CHEMBL405230,COC[C@H]1OC(=O)/C(=C/N2CCC(N3CCCCC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,63.0,nM,=,0.063,PASS,ChEMBL,IC50
CHEMBL410071,COC[C@H]1OC(=O)/C(=C/N2CCC(C(=O)O)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,33.0,nM,=,0.033,PASS,ChEMBL,IC50
CHEMBL273038,COC[C@H]1OC(=O)/C(=C/N2CCC(C(=O)OC)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,31.0,nM,=,0.031,PASS,ChEMBL,IC50
CHEMBL270553,COC[C@H]1OC(=O)/C(=C/N2CCC(c3ccccc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,172.0,nM,=,0.172,PASS,ChEMBL,IC50
CHEMBL408074,COC[C@H]1OC(=O)/C(=C/N2CCN(CCCN3CCOCC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,45.0,nM,=,0.045,PASS,ChEMBL,IC50
CHEMBL271982,COC[C@H]1OC(=O)/C(=C/N2CCN(CCN3CCOCC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,78.0,nM,=,0.078,PASS,ChEMBL,IC50
CHEMBL271780,COC[C@H]1OC(=O)/C(=C/N2CCN(CCCN(C)C)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,38.0,nM,=,0.038,PASS,ChEMBL,IC50
CHEMBL410637,COC[C@H]1OC(=O)/C(=C/N2CCN(C)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,90.0,nM,=,0.09,PASS,ChEMBL,IC50
CHEMBL271184,COC[C@H]1OC(=O)/C(=C/N2CCN(c3ccccc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,56.0,nM,=,0.056,PASS,ChEMBL,IC50
CHEMBL406237,COC[C@H]1OC(=O)/C(=C/N2CCN(Cc3ccccc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,87.0,nM,=,0.087,PASS,ChEMBL,IC50
CHEMBL271544,COC[C@H]1OC(=O)/C(=C/N2CCN(C3CCCCC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,43.0,nM,=,0.043,PASS,ChEMBL,IC50
CHEMBL271430,COC[C@H]1OC(=O)/C(=C/N2CCN(C3CCN(C)CC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,91.0,nM,=,0.091,PASS,ChEMBL,IC50
CHEMBL405157,COC[C@H]1OC(=O)/C(=C/N(CCC#N)Cc2ccccc2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,444.0,nM,=,0.444,PASS,ChEMBL,IC50
CHEMBL409620,COC[C@H]1OC(=O)/C(=C/N(C)CC(O)CO)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,199.0,nM,=,0.199,PASS,ChEMBL,IC50
CHEMBL412076,COC[C@H]1OC(=O)/C(=C/N(CCO)CCO)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,918.0,nM,=,0.918,PASS,ChEMBL,IC50
CHEMBL272593,COC[C@H]1OC(=O)/C(=C/N(C)CCCC(=O)O)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,193.0,nM,=,0.193,PASS,ChEMBL,IC50
CHEMBL272281,COC[C@H]1OC(=O)/C(=C/N(C)CC(=O)OC(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1580.0,nM,=,1.58,PASS,ChEMBL,IC50
CHEMBL271413,COC[C@H]1OC(=O)/C(=C/N(C)C2CCN(C)C2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,127.0,nM,=,0.127,PASS,ChEMBL,IC50
CHEMBL405258,COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCN(c3ccc(OC)cc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,15.0,nM,=,0.015,PASS,ChEMBL,IC50
CHEMBL407215,COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCOCC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,24.0,nM,=,0.024,PASS,ChEMBL,IC50
CHEMBL407214,COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCN(C)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10.0,nM,=,0.01,PASS,ChEMBL,IC50
CHEMBL272595,COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)CCCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,22.0,nM,=,0.022,PASS,ChEMBL,IC50
CHEMBL429577,CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CCN(CC)CC,24.0,nM,=,0.024,PASS,ChEMBL,IC50
CHEMBL409671,CCN(CC)CCN(C)/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12,50.0,nM,=,0.05,PASS,ChEMBL,IC50
CHEMBL272897,CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CCCN(C)C,12.0,nM,=,0.012,PASS,ChEMBL,IC50
CHEMBL272898,CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CCN(C)C,5.0,nM,=,0.005,PASS,ChEMBL,IC50
CHEMBL409427,COC[C@H]1OC(=O)/C(=C/N(C)CCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,8.4,nM,=,0.008400000000000001,PASS,ChEMBL,IC50
CHEMBL271257,COC[C@H]1OC(=O)/C(=C/N(CCN(C)C)Cc2ccccc2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,66.0,nM,=,0.066,PASS,ChEMBL,IC50
CHEMBL272816,COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)C(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,9.6,nM,=,0.0096,PASS,ChEMBL,IC50
CHEMBL410644,COC[C@H]1OC(=O)/C(=C/N(C)CCCN(C)C)C2=C(O)C(=O)C3=C([C@H](O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,638.0,nM,=,0.638,PASS,ChEMBL,IC50
CHEMBL409294,COC[C@H]1OC(=O)/C(=C/NCCCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL410643,COC[C@H]1OC(=O)/C(=C/N(C)CCCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,64.0,nM,=,0.064,PASS,ChEMBL,IC50
CHEMBL411907,C=CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)C(=O)CC[C@@H]12)CC=C,88.0,nM,=,0.088,PASS,ChEMBL,IC50
CHEMBL273832,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CC[C@H](O)[C@@]2(C)C[C@H]1OC(C)=O,2.7,nM,=,0.0027,PASS,ChEMBL,IC50
CHEMBL428873,COC[C@H]1OC(=O)/C(=C/N2CCCC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,496.0,nM,=,0.496,PASS,ChEMBL,IC50
CHEMBL409251,CCCCN(C)/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12,635.0,nM,=,0.635,PASS,ChEMBL,IC50
CHEMBL272190,COC[C@H]1OC(=O)/C(=C/NC(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL270746,COC[C@H]1OC(=O)/C(=C/N(C)C(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,440.0,nM,=,0.44,PASS,ChEMBL,IC50
CHEMBL271190,COC[C@H]1OC(=O)/C(=C/N(CCO)C(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1110.0,nM,=,1.11,PASS,ChEMBL,IC50
CHEMBL271191,CCN/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL406655,CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CC,7850.0,nM,=,7.85,PASS,ChEMBL,IC50
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,2.0,nM,=,0.002,PASS,ChEMBL,IC50
CHEMBL257371,COc1ccc2c(Sc3ccc([N+](=O)[O-])cc3)c3ccoc3nc2c1,4000.0,nM,=,4.0,PASS,ChEMBL,IC50
CHEMBL462168,COc1cc2nccc(Oc3ccc4c(NC(=O)c5cccc(C(F)(F)F)c5)nn(C)c4c3)c2cc1OC,3250.0,nM,=,3.25,PASS,ChEMBL,IC50
CHEMBL496332,COCC(O)Cn1cc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)cn1,243.0,nM,=,0.243,PASS,ChEMBL,IC50
CHEMBL490428,Cc1ccc(Nc2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)nn1,24.0,nM,=,0.024,PASS,ChEMBL,IC50
CHEMBL510164,Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,8.0,nM,=,0.008,PASS,ChEMBL,IC50
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,3.0,nM,=,0.003,PASS,ChEMBL,IC50
CHEMBL493090,CN1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,44.0,nM,=,0.044,PASS,ChEMBL,IC50
CHEMBL493296,c1cc2nc(-c3ccc4cn[nH]c4c3)nc(N3CCOCC3)c2s1,2450.0,nM,=,2.45,PASS,ChEMBL,IC50
CHEMBL494921,c1cc(-c2nc(N3CCOCC3)c3sccc3n2)c2cn[nH]c2c1,102.0,nM,=,0.102,PASS,ChEMBL,IC50
CHEMBL522031,OCCN1CCN(Cc2cc3nc(-c4cccc(O)c4)nc(N4CCOCC4)c3s2)CC1,7.0,nM,=,0.007,PASS,ChEMBL,IC50
CHEMBL523379,CN1CCN(Cc2cc3nc(-c4cccc(O)c4)nc(N4CCOCC4)c3s2)CC1,10.0,nM,=,0.01,PASS,ChEMBL,IC50
CHEMBL493290,COCCN(C)Cc1cc2nc(-c3cccc(O)c3)nc(N3CCOCC3)c2s1,4.0,nM,=,0.004,PASS,ChEMBL,IC50
CHEMBL493289,CN(C)Cc1cc2nc(-c3cccc(O)c3)nc(N3CCOCC3)c2s1,3.0,nM,=,0.003,PASS,ChEMBL,IC50
CHEMBL493084,Cc1csc2c(N3CCOCC3)nc(-c3cccc(O)c3)nc12,21.0,nM,=,0.021,PASS,ChEMBL,IC50
CHEMBL493083,Cc1cc2nc(-c3cccc(O)c3)nc(N3CCOCC3)c2s1,6.0,nM,=,0.006,PASS,ChEMBL,IC50
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,3.0,nM,=,0.003,PASS,ChEMBL,IC50
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,3.0,nM,=,0.003,PASS,ChEMBL,IC50
CHEMBL492251,COc1ccc(-c2cncc(C#N)c2Nc2ccc3[nH]ccc3c2)cc1OC,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL472084,Cc1cc(F)ccc1OCc1cc(C(=O)NO)cc(N2CCOCC2)n1,10000.0,nM,>=,10.0,PASS,ChEMBL,IC50
CHEMBL472085,Cc1cc(F)ccc1OCc1cc(C(N)=O)cc(N2CCOCC2)n1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL469565,Cc1cc(F)ccc1OCc1cc(C(=O)O)cc(N2CCOCC2)n1,7000.0,nM,=,7.0,PASS,ChEMBL,IC50
CHEMBL469796,Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(N2CCOCC2)n1,5000.0,nM,=,5.0,PASS,ChEMBL,IC50
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,200.0,nM,=,0.2,PASS,ChEMBL,IC50
CHEMBL489058,CCN1CCN(CC/C=C/c2ccc3c(Nc4ccc(Sc5nccn5C)c(Cl)c4)c(C#N)cnc3c2)CC1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50
CHEMBL514869,CC1(C)CNC(=O)c2sc(N3CCOC[C@@H]3Cc3c[nH]c4ccccc34)nc2C1,199.0,nM,=,0.199,PASS,ChEMBL,IC50
CHEMBL469099,CC1(C)CC(=O)c2sc(N3CCOCC3)nc2C1,975.0,nM,=,0.975,PASS,ChEMBL,IC50
CHEMBL478633,CC1(C)CC(=O)c2sc(N3CCOC[C@@H]3Cc3csc4ccccc34)nc2C1,125.0,nM,=,0.125,PASS,ChEMBL,IC50
CHEMBL478425,CC1(C)CC(=O)c2sc(N3CCOCC3Cc3c[nH]c4ncccc34)nc2C1,107.0,nM,=,0.107,PASS,ChEMBL,IC50
CHEMBL513924,CC1(C)CC(=O)c2sc(N3CCOC[C@@H]3Cc3c[nH]c4ccccc34)nc2C1,51.0,nM,=,0.051,PASS,ChEMBL,IC50
